"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta_b0",0.503947041657946,2.53737496206033e-05,0.000474482024368854,0.503096148781345,0.503608513955277,0.503920924410141,0.504278415824265,0.504913202185236,349.679544459007,0.996170546486986
"beta_b1",-1.50353723996422,0.107208727012109,0.298033036001354,-2.06937519022074,-1.68606926392046,-1.52412383742126,-1.37542624615292,-0.835896591860321,7.72802530078063,1.2482066191261
"BATTER_IDX1",1.25312379702806,0.0549633852752272,0.268102196439631,0.792778380724222,1.09911800108063,1.23977884403968,1.38401174791805,1.81529196846833,23.7932515725525,1.10227683137718
"BATTER_IDX2",-1.50525480730614,0.106652082607089,0.297320714792912,-2.06100693481789,-1.69059033422887,-1.52254369763491,-1.36480469040188,-0.855298602951598,7.77162176146336,1.24912395697827
"BATTER_IDX3",-1.50933762822501,0.106657950392544,0.297329568811201,-2.06398870324925,-1.69537805734694,-1.52550996253533,-1.36833891290122,-0.858527126295197,7.77122949737541,1.24890045429493
"BATTER_IDX4",-1.51067951526437,0.106593106355048,0.297126060453637,-2.06483567620123,-1.69628737503669,-1.52601865437319,-1.36814308321906,-0.862734609215588,7.7700399570408,1.24880324733105
"BATTER_IDX5",-1.50507849732016,0.106632817368244,0.297212188436477,-2.05706122990991,-1.69001318786466,-1.52168254623627,-1.36503402602926,-0.855637908930689,7.76875567372656,1.24955843984485
"BATTER_IDX6",-1.50379385724174,0.106668423434637,0.297247756694297,-2.05863114525182,-1.68923078299877,-1.51989815655919,-1.36178150265397,-0.853787814936087,7.76542838647632,1.24956470374705
"BATTER_IDX7",-1.50200829969942,0.106711661515513,0.297344130728944,-2.05669764956346,-1.68966469855309,-1.51812424681564,-1.36082430393182,-0.853675012097863,7.76416894368697,1.24996390424827
"BATTER_IDX8",-1.49999535967747,0.106664385756989,0.297367034755194,-2.056020993606,-1.6871883525187,-1.51725978792454,-1.35879898927044,-0.850689842687189,7.77225016840964,1.24965186089512
"BATTER_IDX9",-1.4976534107394,0.106676993195784,0.297348889321289,-2.05386700254056,-1.6854879422294,-1.51696387329618,-1.35492518967466,-0.847516577073672,7.76946489927963,1.25009527264555
"BATTER_IDX10",-1.49868341002148,0.106755168157571,0.297572814012261,-2.05401463497878,-1.68478114922492,-1.51545967615269,-1.35766019974939,-0.847465614009457,7.7697793544068,1.24984740141719
"BATTER_IDX11",-1.50021211507661,0.106787896851768,0.297598400751216,-2.05933721429322,-1.68801087583725,-1.5167277888263,-1.35945873643223,-0.849162333156476,7.76635287523184,1.24948232378413
"BATTER_IDX12",-1.50014796977777,0.106883665588262,0.2977157528864,-2.05534935009582,-1.68744127970463,-1.51849073866987,-1.35964002688605,-0.848518915270519,7.75855691902908,1.24976699606269
"BATTER_IDX13",-1.50018835505069,0.106951534798303,0.297906932667314,-2.05739285834284,-1.68784258735804,-1.51846140706947,-1.3590280158726,-0.84701137720848,7.75866815847511,1.24961700320718
"BATTER_IDX14",-1.50024067416487,0.106965401538651,0.297908593081649,-2.05872357070016,-1.68826835843105,-1.51847863835126,-1.3590967545786,-0.847282794106195,7.75674312353577,1.24994212036212
"BATTER_IDX15",-1.500368079755,0.106936916059378,0.297827162152102,-2.05770459181426,-1.68809560181513,-1.5183033960134,-1.35991387762441,-0.848747453610881,7.75663393491141,1.24978147866615
"BATTER_IDX16",-1.50035525217979,0.106903411404701,0.297824488351905,-2.05838459220077,-1.6884137512816,-1.51773250819834,-1.36041304696062,-0.847897641146061,7.76135735828817,1.2495159710804
"ORDER_CT1",-1.50043236533184,0.106959719857145,0.297900354217757,-2.05998993862579,-1.68852638032635,-1.51786697957781,-1.36113915669835,-0.847365011011202,7.7571381434672,1.24966624988745
"ORDER_CT2",1.18491986311082,0.106943613069394,0.298427266020503,0.531813625827694,1.04931933014442,1.20451993602495,1.36669383035424,1.73772351890965,7.78694837270766,1.25278193445758
"ORDER_CT3",1.19745982019924,0.106971338111547,0.298414933433423,0.54368393952674,1.06321270052194,1.21692473749273,1.380806297078,1.75004952199668,7.78226917394877,1.25333821599668
"ORDER_CT4",1.20211285898267,0.106948967892711,0.298240166558405,0.54936708296881,1.06857293482923,1.22116022593948,1.38427073454641,1.7560378560128,7.77640858166852,1.25340616281641
"WOBA_FINAL_BAT_19",1.20108264307289,0.106983009149986,0.298474083492063,0.549214910992142,1.06691449518598,1.21879712879129,1.38498024219406,1.75013977999191,7.78365603711065,1.25307649145123
"WOBA_FINAL_PIT_19",1.02810272363103,0.00208697716395387,0.014916977914477,0.998825901779827,1.01839301187364,1.0279399065399,1.03743996549979,1.05736934370217,51.0888703050614,1.01312481540954
"HAND_MATCH",0.98407118956641,0.00199765839750909,0.0172191680040484,0.955940952750586,0.971476033982398,0.983649505094798,0.995859854291749,1.01811869068736,74.2988131268039,1.01504230300191
"BAT_HOME_IND",-0.0184252472635102,8.6147645549137e-05,0.00138810411391253,-0.0213430480409097,-0.0192231958184714,-0.0183151992614614,-0.0175322994439457,-0.0156888975987146,259.631425406772,0.99942737342729
"tau_b",0.0113987637384296,7.87596224683091e-05,0.00128043533657627,0.00913646414636664,0.0104241105669696,0.0113986780146771,0.0122367582801139,0.013585097142484,264.306625909968,0.998732466527101
"tau_o",0.0207893010267995,0.00130833334020479,0.00741944841818309,0.00972834312759519,0.0155349451360573,0.020038355492887,0.0252979204916761,0.0387013015780135,32.159287809914,1.00611178930994
"sigma",0.138820422150326,0.0845686484911388,0.360251184539066,0.0105733674950351,0.0207183928162801,0.0310301025696087,0.0654713461041809,1.02394306851072,18.1464658096617,1.03836160813311
